"","lane","study","species","gene"
"8471","16228_1_11","musciha","KpSC","CatA2"
"8489","16228_1_13","musciha","KpSC","CatA1"
"8501","16228_1_14","musciha","KpSC","CatA1"
"8504","16228_1_15","musciha","KpSC","CatA2"
"8529","16228_1_18","musciha","KpSC","FloR"
"8531","16228_1_19","musciha","KpSC","CatA2"
"8554","16228_1_2","musciha","KpSC","FloR"
"8564","16228_1_21","musciha","KpSC","CatA1"
"8570","16228_1_23","musciha","KpSC","CatA2"
"8577","16228_1_23","musciha","KpSC","CatA1"
"8585","16228_1_26","musciha","KpSC","CatA2"
"8597","16228_1_26","musciha","KpSC","CatA1"
"8630","16228_1_29","musciha","KpSC","CatA1"
"8633","16228_1_3","musciha","KpSC","CatA2"
"8643","16228_1_30","musciha","KpSC","CatA2"
